,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 06, 2022",305.19,307.00,296.71,299.50,299.50,"40,058,900"
1,"Apr 05, 2022",313.27,314.87,309.87,310.88,310.88,"23,156,700"
2,"Apr 04, 2022",310.09,315.11,309.71,314.97,314.97,"24,289,600"
3,"Apr 01, 2022",309.37,310.13,305.54,309.42,309.42,"27,085,100"
4,"Mar 31, 2022",313.90,315.14,307.89,308.31,308.31,"33,422,100"
5,"Mar 30, 2022",313.76,315.95,311.58,313.86,313.86,"28,163,600"
6,"Mar 29, 2022",313.91,315.82,309.05,315.41,315.41,"30,393,400"
7,"Mar 28, 2022",304.33,310.80,304.33,310.70,310.70,"29,578,200"
8,"Mar 25, 2022",305.23,305.50,299.29,303.68,303.68,"22,566,500"
9,"Mar 24, 2022",299.14,304.20,298.32,304.10,304.10,"24,484,500"
10,"Mar 23, 2022",300.51,303.23,297.72,299.49,299.49,"25,715,400"
11,"Mar 22, 2022",299.80,305.00,298.77,304.06,304.06,"27,599,700"
12,"Mar 21, 2022",298.89,300.14,294.90,299.16,299.16,"28,351,200"
13,"Mar 18, 2022",295.37,301.00,292.73,300.43,300.43,"43,317,000"
14,"Mar 17, 2022",293.29,295.61,289.37,295.22,295.22,"30,816,600"
15,"Mar 16, 2022",289.11,294.57,283.20,294.39,294.39,"37,826,300"
16,"Mar 15, 2022",280.35,287.82,278.73,287.15,287.15,"34,245,100"
17,"Mar 14, 2022",280.34,285.40,275.82,276.44,276.44,"30,660,700"
18,"Mar 11, 2022",287.96,289.51,279.43,280.07,280.07,"27,192,600"
19,"Mar 10, 2022",283.02,286.60,280.58,285.59,285.59,"30,628,000"
20,"Mar 09, 2022",283.44,289.60,280.78,288.50,288.50,"35,204,500"
21,"Mar 08, 2022",277.80,283.96,270.00,275.85,275.85,"48,159,500"
22,"Mar 07, 2022",288.53,289.69,278.53,278.91,278.91,"43,157,200"
23,"Mar 04, 2022",294.29,295.66,287.17,289.86,289.86,"32,356,500"
24,"Mar 03, 2022",302.89,303.13,294.05,295.92,295.92,"27,314,500"
25,"Mar 02, 2022",295.36,301.47,293.70,300.19,300.19,"31,873,000"
26,"Mar 01, 2022",296.40,299.97,292.15,294.95,294.95,"31,217,800"
27,"Feb 28, 2022",294.31,299.14,293.00,298.79,298.79,"34,585,700"
28,"Feb 25, 2022",295.14,297.63,291.65,297.31,297.31,"32,546,700"
29,"Feb 24, 2022",272.51,295.16,271.52,294.59,294.59,"56,989,700"
30,"Feb 23, 2022",290.18,291.70,280.10,280.27,280.27,"37,811,200"
31,"Feb 22, 2022",285.00,291.54,284.50,287.72,287.72,"41,736,100"
32,"Feb 18, 2022",293.05,293.86,286.31,287.93,287.93,"34,264,000"
33,"Feb 17, 2022",296.36,296.80,290.00,290.73,290.73,"32,461,600"
34,"Feb 16, 2022",298.37,300.87,293.68,299.50,299.50,"29,982,100"
35,"Feb 16, 2022",Dividend,,,,,
36,"Feb 15, 2022",300.01,300.80,297.02,300.47,299.85,"27,058,300"
37,"Feb 14, 2022",293.77,296.76,291.35,295.00,294.39,"36,359,500"
38,"Feb 11, 2022",303.19,304.29,294.22,295.04,294.43,"39,175,600"
39,"Feb 10, 2022",304.04,309.12,300.70,302.38,301.76,"45,386,200"
40,"Feb 09, 2022",309.87,311.93,307.39,311.21,310.57,"31,284,700"
41,"Feb 08, 2022",301.25,305.56,299.95,304.56,303.93,"32,421,200"
42,"Feb 07, 2022",306.17,307.84,299.90,300.95,300.33,"28,533,300"
43,"Feb 04, 2022",300.21,308.80,299.97,305.94,305.31,"35,096,500"
44,"Feb 03, 2022",309.49,311.23,299.96,301.25,300.63,"43,730,000"
45,"Feb 02, 2022",309.63,315.12,308.88,313.46,312.81,"36,636,000"
46,"Feb 01, 2022",310.41,310.63,305.13,308.76,308.12,"40,950,400"
47,"Jan 31, 2022",308.95,312.38,306.37,310.98,310.34,"46,444,500"
48,"Jan 28, 2022",300.23,308.48,294.45,308.26,307.62,"49,743,700"
49,"Jan 27, 2022",302.66,307.30,297.93,299.84,299.22,"53,481,300"
50,"Jan 26, 2022",307.99,308.50,293.03,296.71,296.10,"90,428,900"
51,"Jan 25, 2022",291.52,294.99,285.17,288.49,287.89,"72,848,600"
52,"Jan 24, 2022",292.20,297.11,276.05,296.37,295.76,"85,731,500"
53,"Jan 21, 2022",302.69,304.11,295.61,296.03,295.42,"57,984,400"
54,"Jan 20, 2022",309.07,311.65,301.14,301.60,300.98,"35,380,700"
55,"Jan 19, 2022",306.29,313.91,302.70,303.33,302.70,"45,933,900"
56,"Jan 18, 2022",304.07,309.80,301.74,302.65,302.03,"42,333,200"
57,"Jan 14, 2022",304.25,310.82,303.75,310.20,309.56,"39,846,400"
58,"Jan 13, 2022",320.47,320.88,304.00,304.80,304.17,"45,366,000"
59,"Jan 12, 2022",319.67,323.41,317.08,318.27,317.61,"34,372,200"
60,"Jan 11, 2022",313.38,316.61,309.89,314.98,314.33,"29,386,800"
61,"Jan 10, 2022",309.49,314.72,304.69,314.27,313.62,"44,289,500"
62,"Jan 07, 2022",314.15,316.50,310.09,314.04,313.39,"32,720,000"
63,"Jan 06, 2022",313.15,318.70,311.49,313.88,313.23,"39,646,100"
64,"Jan 05, 2022",325.86,326.07,315.98,316.38,315.73,"40,054,300"
65,"Jan 04, 2022",334.83,335.20,326.12,329.01,328.33,"32,674,300"
66,"Jan 03, 2022",335.35,338.00,329.78,334.75,334.06,"28,865,100"
67,"Dec 31, 2021",338.51,339.36,335.85,336.32,335.63,"18,000,800"
68,"Dec 30, 2021",341.91,343.13,338.82,339.32,338.62,"15,994,500"
69,"Dec 29, 2021",341.30,344.30,339.68,341.95,341.24,"15,042,000"
70,"Dec 28, 2021",343.15,343.81,340.32,341.25,340.55,"15,661,500"
71,"Dec 27, 2021",335.46,342.48,335.43,342.45,341.74,"19,947,000"
72,"Dec 23, 2021",332.75,336.39,332.73,334.69,334.00,"19,617,800"
73,"Dec 22, 2021",328.30,333.61,325.75,333.20,332.51,"24,831,500"
74,"Dec 21, 2021",323.29,327.73,319.80,327.29,326.61,"24,740,600"
75,"Dec 20, 2021",320.05,322.80,317.57,319.91,319.25,"28,326,500"
76,"Dec 17, 2021",320.88,324.92,317.25,323.80,323.13,"47,750,300"
77,"Dec 16, 2021",335.71,336.76,323.02,324.90,324.23,"35,034,800"
78,"Dec 15, 2021",328.61,335.19,324.50,334.65,333.96,"35,381,100"
79,"Dec 14, 2021",333.22,334.64,324.11,328.34,327.66,"44,438,700"
80,"Dec 13, 2021",340.68,343.79,339.08,339.40,338.70,"28,899,400"
81,"Dec 10, 2021",334.98,343.00,334.79,342.54,341.83,"38,095,700"
82,"Dec 09, 2021",334.41,336.49,332.12,333.10,332.41,"22,214,200"
83,"Dec 08, 2021",335.31,335.50,330.80,334.97,334.28,"24,761,000"
84,"Dec 07, 2021",331.64,335.80,330.10,334.92,334.23,"31,021,900"
85,"Dec 06, 2021",323.95,327.45,319.23,326.19,325.52,"30,032,600"
86,"Dec 03, 2021",331.99,332.70,318.03,323.01,322.34,"41,779,300"
87,"Dec 02, 2021",330.30,333.49,327.80,329.49,328.81,"30,766,000"
88,"Dec 01, 2021",335.13,339.28,329.39,330.08,329.40,"33,337,600"
89,"Nov 30, 2021",335.32,337.78,328.99,330.59,329.91,"42,885,600"
90,"Nov 29, 2021",334.94,339.03,334.74,336.63,335.94,"28,563,500"
91,"Nov 26, 2021",334.35,337.93,328.12,329.68,329.00,"24,217,200"
92,"Nov 24, 2021",336.28,338.16,333.91,337.91,337.21,"21,661,300"
93,"Nov 23, 2021",337.05,339.45,333.56,337.68,336.98,"30,427,600"
94,"Nov 22, 2021",344.62,349.67,339.55,339.83,339.13,"31,031,100"
95,"Nov 19, 2021",342.64,345.10,342.20,343.11,342.40,"21,963,400"
96,"Nov 18, 2021",338.18,342.45,337.12,341.27,340.57,"22,463,500"
97,"Nov 17, 2021",338.94,342.19,338.00,339.12,338.42,"19,053,400"
98,"Nov 17, 2021",Dividend,,,,,
99,"Nov 16, 2021",335.68,340.67,335.51,339.51,338.19,"20,886,800"
100,*Close price adjusted for splits.,<span>**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.</span>,**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,,,,
